ID,hero_or_villain,hero_or_villain_combined,alignment_all,alignment_all_combined,alignment_all_combined_good,alignment_all_combined_evil,alignment_all_combined_neutral,alignment_all_combined_other,family_affil,family_affil_batfam,family_affil_wonderfam,family_affil_arrowfam,family_affil_flashfam,family_affil_superfam,family_affil_martianfam,family_affil_lanternfam,family_affil_nah,team_affil,team_affil_titans,team_affil_jlu,team_affil_outlaw,team_affil_league_los,team_affil_birds,team_affil_yj,team_affil_jld,team_affil_jsa,team_affil_lantern_corp,team_affil_rogues,team_affil_teen_justice,team_affil_nah,sidekick_status,sidekick_status_combined,base,fight_why,fight_why_justice,fight_why_revenge,fight_why_responsibility,fight_why_redemption,fight_why_protection,fight_why_honor,fight_why_nan,fight_why_nah,year_start,main_weapon,main_weapon_combined,meta_powers,meta_powers_nah,meta_powers_tech,meta_powers_super,meta_powers_flight,meta_powers_race,meta_powers_speed,meta_powers_artifact,meta_powers_magic,main_rival,main_rival_yn_split,lethal_thoughts,lethal_thoughts_combined,lethal_thoughts_combined_never,lethal_thoughts_combined_only_last,lethal_thoughts_combined_only_danger,lethal_thoughts_combined_always,lethal_thoughts_combined_except,lethal_thoughts_combined_other,age,race,race_combined,race_combined_human,race_combined_martian,race_combined_kryptonian,race_combined_alien_other,race_combined_magic,race_combined_other,gender,gender_combined,orphan_status,trinity_1,trinity_2,trinity_3,Batman_score,Wonder Woman_score,Superman_score
1,Hero,Hero,good,I'm good,1,0,0,0,Bat,1,0,0,0,0,0,0,0,"Teen Titans, Justice League",1,1,0,0,0,0,0,0,0,0,0,0,No,No,Other,I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940,Escrima,Other,No powers,1,0,0,0,0,0,0,0,"Yes, very dangerous",Yes,"never, only_last, but you sometimes think it'd be easier","Only as last resort, Other",0,1,0,0,0,1,29.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,Yes,Batman,Superman,Wonder Woman,3.0,1.0,2.0
2,You tell me,,"good, evil, Complicated, Lazarus","I'm good, I'm evil, Other",1,1,0,1,Bat,1,0,0,0,0,0,0,0,"Outlaws, League of Shadows",0,0,1,1,0,0,0,0,0,0,0,0,No,No,Gotham,"I fight for justice, I fight for revenge",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,Gun,Gun,No powers,1,0,0,0,0,0,0,0,"Yes, very dangerous",Yes,"always, only_danger, some people just deserve it",Always,0,0,0,1,0,0,24.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,Yes,Wonder Woman,Superman,Wonder Woman,,3.0,2.0
3,Hero,Hero,good,I'm good,1,0,0,0,Bat,1,0,0,0,0,0,0,0,"Teen Titans, Young Justice",1,0,0,0,0,1,0,0,0,0,0,0,No? ?,No,Gotham,"I fight for justice, I fight for responsibility",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1989,Bo staff,Other,No powers,1,0,0,0,0,0,0,0,"Yes, very dangerous",Yes,never,Never,1,0,0,0,0,0,20.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,Yes,Batman,,,3.0,,
4,Hero,Hero,good,I'm good,1,0,0,0,Bat,1,0,0,0,0,0,0,0,"Teen Titans, League of Shadows",1,0,0,1,0,0,0,0,0,0,0,0,tt Yes,Yes,Gotham,"I fight for justice, I fight for redemption",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2006,Knife,Knife,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,"only_last, only for people who really do deserve it","Only as last resort, Some exceptions",0,1,0,0,1,0,13.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Batman,Superman,,3.0,,2.0
5,Hero,Hero,good,I'm good,1,0,0,0,Bat,1,0,0,0,0,0,0,0,Nope,0,0,0,0,0,0,0,0,0,0,0,1,No,No,Gotham,"I fight for justice, I fight for responsibility",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1992,Three-part staff,Other,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,"only_last, only_danger, but you can't take it back","Only as last resort, Only if dangerous, Other",0,1,1,0,0,1,21.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,Wonder Woman,,,,3.0,
6,Hero,Hero,"good, mind controlled? I think, that counts","I'm good, Other",1,0,0,1,Bat,1,0,0,0,0,0,0,0,Birds of Prey,0,0,0,0,1,0,0,0,0,0,0,0,No,No,Gotham,"I fight for justice, I fight for honor",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1999,Fists,Hand to hand,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,"never, absolutely not",Never,1,0,0,0,0,0,20.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,,Batman,Wonder Woman,,3.0,2.0,
7,Hero,Hero,good,I'm good,1,0,0,0,Bat,1,0,0,0,0,0,0,0,Birds of Prey,0,0,0,0,1,0,0,0,0,0,0,0,No,No,Gotham,I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,Nothing on the field. Off the field? Tech,Other,"None, Tech",0,1,0,0,0,0,0,0,"No, I don't",No,"only_danger, some exceptions have to be made","Only if dangerous, Some exceptions",0,0,1,0,1,0,32.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,,,,,,
8,Hero,Hero,good,I'm good,1,0,0,0,Wonder,0,1,0,0,0,0,0,0,Teen Titans,1,0,0,0,0,0,0,0,0,0,0,0,No,No,New York,"I fight for justice, I fight for honor",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1968,Lasso,Other,"Superkit, Flight",0,0,1,1,0,0,0,0,"No, I don't",No,only_last,Only as last resort,0,1,0,0,0,0,,"human, clay, goddess, bit of it all","Human, Other",1.0,0.0,0.0,0.0,0.0,1.0,F,F,,Wonder Woman,Superman,,,3.0,2.0
9,Hero,Hero,good,I'm good,1,0,0,0,Other,0,0,0,0,0,0,0,0,Teen Titans,1,0,0,0,0,0,0,0,0,0,0,0,No,No,Other,"I fight for honor, I fight for responsibility",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1964,Trident,Other,"Superkit, Racial Abilities",0,0,1,0,1,0,0,0,"Yes, very annoying",Yes,"only_last, only_danger","Only as last resort, Only if dangerous",0,1,1,0,0,0,31.0,atlantean,Other,0.0,0.0,0.0,0.0,0.0,1.0,M,M,No,Superman,Wonder Woman,Batman,1.0,2.0,3.0
10,Hero,Hero,good,I'm good,1,0,0,0,Arrow,0,0,1,0,0,0,0,0,"Teen Titans, Outlaws",1,0,1,0,0,0,0,0,0,0,0,0,No,No,Star (City),"I fight for justice, I fight for responsibility",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1941,Arrows,Arrows,No powers,1,0,0,0,0,0,0,0,"Yes, very annoying",Yes,only_danger,Only if dangerous,0,0,1,0,0,0,27.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,Yes,Superman,,,,,3.0
